id_tanaman,nama_daun,harga,butuh,satuan,nama_toko,url
13,Temulawak Segar / Curcuma Fresh 1KG,14000,1000,gram,hasielalam,https://shopee.co.id/Temulawak-Segar---Curcuma-Fresh-1KG-i.478112421.10617449978?gclid=CjwKCAjwsJ6TBhAIEiwAfl4TWFrppAQQ-I3GGGGETyE2QEobmiaOMX_OMkcwdTy_VDK9vzm37TE4tBoCdt8QAvD_BwE
13,Readyy Temulawak segar 1kg temu lawak umbi basah fresh,12000,1,kg,center_plants_indonesia,https://shopee.co.id/Readyy-Temulawak-segar-1kg-temu-lawak-umbi-basah--fresh-i.400278190.9824962921?gclid=CjwKCAjwsJ6TBhAIEiwAfl4TWA2E0CQanq5HdeCj4bCSnkB1N7SgmGZF3JyDSKWLD_l58XJmVPZtghoCcV4QAvD_BwE
13,Temulawak segar 1 kg.Asli temulawak,8500,1,kg,yunas21,https://shopee.co.id/Temulawak-segar-1-kg.Asli-temulawak-i.27835884.5520281522
13,Temulawak Pack 250 gr,10120,250,gram,tanihub,https://shopee.co.id/Temulawak-Pack-250-gr-i.46424920.8815815245
13,Temulawak - Temulawak Segar Organik 250 Gram (Harga Murah!!),4000,250,gram,dapur_hijau,https://shopee.co.id/Temulawak-Temulawak-Segar-Organik-250-Gram-(Harga-Murah!!)-i.389263211.8635620589
13,Jual temulawak segar fresh,13000,500,gram,toko_bambu,https://shopee.co.id/Jual-temulawak-segar-fresh-i.274762535.7838527050
13,Temulawak segar 1kg temu lawak umbi basah fresh,10800,1,kg,the_best_garden,https://shopee.co.id/Temulawak-segar-1kg-temu-lawak-umbi-basah-fresh-i.207829600.5512879997
13,Temulawak / Temu lawak,7000,250,gram,sayurnco,https://shopee.co.id/Temulawak-Temu-lawak-250gr-i.456019889.9064282420
12,Sereh FreshBox,3800,200,gram,FreshBox Official Shop,https://shopee.co.id/Sereh-200-Gr-FreshBox-i.77679332.6511205366?sp_atk=58c1f2b9-5ebf-4405-93ea-f30738794549
12,Sereh Sayuran Segar Masquw,7000,500,gram,Masquw,https://shopee.co.id/DAUN-SERE-SERAI-SEREH-SAYURAN-SEGAR-MASQUW-i.295310004.3046206895?sp_atk=abe0941d-fc55-43a5-88e0-fdf25e203b09
